Date,Open,High,Low,Close,Volume
30-Jan-15,78.00,78.16,75.75,75.91,42649491
29-Jan-15,76.85,78.02,74.21,78.00,61293468
28-Jan-15,76.90,77.64,76.00,76.24,53306422
27-Jan-15,76.71,76.88,75.63,75.78,20109977
26-Jan-15,77.98,78.47,77.29,77.50,19260820
23-Jan-15,77.65,78.19,77.04,77.83,16746503
22-Jan-15,77.17,77.75,76.68,77.65,19519458
21-Jan-15,76.16,77.30,75.85,76.74,25096737
20-Jan-15,75.72,76.31,74.82,76.24,22821614
16-Jan-15,74.04,75.32,73.84,75.18,21791529
15-Jan-15,76.40,76.57,73.54,74.05,34133974
14-Jan-15,76.42,77.20,76.03,76.28,25918564
13-Jan-15,77.23,78.08,75.85,76.45,25179561
12-Jan-15,77.84,78.00,76.21,76.72,19190194
9-Jan-15,78.20,78.62,77.20,77.74,21157007
8-Jan-15,76.74,78.23,76.08,78.18,23960953
7-Jan-15,76.76,77.36,75.82,76.15,22045333
6-Jan-15,77.23,77.59,75.36,76.15,27399288
5-Jan-15,77.98,79.25,76.86,77.19,26452191
2-Jan-15,78.58,78.93,77.70,78.45,18177475
31-Dec-14,79.54,79.80,77.86,78.02,20040439
30-Dec-14,79.85,80.59,79.10,79.22,14370763
29-Dec-14,80.49,80.96,79.71,80.02,14134666
26-Dec-14,81.02,81.28,80.51,80.78,10647388
24-Dec-14,81.03,81.43,80.75,80.77,7685481
23-Dec-14,82.02,82.17,80.40,80.61,19865820
22-Dec-14,80.08,81.89,80.00,81.45,31395770
19-Dec-14,78.75,80.00,78.33,79.88,43334992
18-Dec-14,76.89,78.40,76.51,78.40,34222081
17-Dec-14,75.01,76.41,74.90,76.11,29203904
16-Dec-14,76.19,77.39,74.59,74.69,31554593
15-Dec-14,78.46,78.58,76.56,76.99,29396532
12-Dec-14,77.16,78.88,77.02,77.83,28091617
11-Dec-14,76.52,78.52,76.48,77.73,33492661
10-Dec-14,76.65,77.55,76.07,76.18,32210532
9-Dec-14,75.20,76.93,74.78,76.84,25358584
8-Dec-14,76.18,77.25,75.40,76.52,25733853
5-Dec-14,75.80,76.76,75.36,76.36,24306446
4-Dec-14,74.83,75.55,74.66,75.24,14390520
3-Dec-14,75.38,75.73,74.40,74.88,16689857
2-Dec-14,75.33,75.91,75.04,75.46,16773884
1-Dec-14,77.26,77.31,74.80,75.10,31789866
28-Nov-14,77.67,78.27,77.23,77.70,15992035
26-Nov-14,75.53,77.78,75.51,77.62,32721585
25-Nov-14,74.21,75.74,74.13,75.63,32250205
24-Nov-14,73.54,74.35,73.35,74.01,22103831
21-Nov-14,74.50,74.50,73.50,73.75,23060382
20-Nov-14,72.80,73.99,72.51,73.60,19154862
19-Nov-14,74.01,74.54,73.11,73.33,25441163
18-Nov-14,74.45,74.80,73.90,74.34,20696643
17-Nov-14,74.88,75.66,73.88,74.24,28701191
14-Nov-14,74.27,74.93,74.04,74.88,19476878
13-Nov-14,74.74,75.24,73.64,74.25,26448451
12-Nov-14,74.28,75.14,73.54,74.72,26536609
11-Nov-14,74.95,74.98,74.03,74.61,18735123
10-Nov-14,75.36,75.48,74.61,75.00,21575126
7-Nov-14,75.39,75.86,75.02,75.60,20774381
6-Nov-14,74.89,75.60,74.31,75.26,21383194
5-Nov-14,76.51,76.80,74.42,74.83,35912588
4-Nov-14,74.23,75.77,73.65,75.76,39326471
3-Nov-14,75.47,75.52,73.70,73.88,40727330
31-Oct-14,74.93,75.70,74.45,74.99,44544325
30-Oct-14,75.05,75.35,72.90,74.11,83269554
29-Oct-14,75.45,76.88,74.78,75.86,106119520
28-Oct-14,80.18,81.16,79.57,80.77,74211768
27-Oct-14,80.74,80.80,79.76,80.28,30168921
24-Oct-14,80.20,80.82,79.32,80.67,32247520
23-Oct-14,79.38,80.63,79.01,80.04,35055800
22-Oct-14,78.82,79.85,78.01,78.37,41862393
21-Oct-14,77.56,78.74,77.15,78.69,32252403
20-Oct-14,75.60,77.09,75.38,76.95,34701260
17-Oct-14,74.23,76.00,73.75,75.95,76341638
16-Oct-14,70.79,73.35,70.58,72.63,53529459
15-Oct-14,71.69,73.80,70.32,73.21,61528317
14-Oct-14,74.00,74.18,72.05,73.59,50299288
13-Oct-14,73.23,74.78,72.52,72.99,43937638
